Date,Close
2024-12-31,246.27374
2025-01-01,242.76218
2025-01-02,238.29227
2025-01-03,233.70769
2025-01-04,229.4856
2025-01-05,225.86037
2025-01-06,222.92696
2025-01-07,220.6955
2025-01-08,219.11829
2025-01-09,218.10686
2025-01-10,217.5458
2025-01-11,217.3053
2025-01-12,217.25243
2025-01-13,217.2611
2025-01-14,217.22028
2025-01-15,217.04057
2025-01-16,216.65906
2025-01-17,216.04092
2025-01-18,215.17923
2025-01-19,214.09148
2025-01-20,212.81476
2025-01-21,211.39902
2025-01-22,209.90068
2025-01-23,208.37624
2025-01-24,206.87686
2025-01-25,205.44476
2025-01-26,204.11086
2025-01-27,202.89409
2025-01-28,201.80193
2025-01-29,200.83179
